lattitude,longitude,place,Room_no
13.6302092,78.4780064,0,217
13.6302688,78.4779873,0,217
13.6302089,78.4779956,0,217
13.6302044,78.4780104,0,217
13.6302598,78.4780156,0,217
13.6302033,78.4779973,0,217
13.6302105,78.478017,0,217
13.63022,78.4779856,0,217
13.6302227,78.4779944,0,217
13.6302251,78.477989,0,217
13.6302689,78.4779868,0,217
13.6302262,78.4780011,0,217
13.6302084,78.4780068,0,217
13.6302012,78.4779944,0,217
13.6302386,78.477997,0,217
13.6301956,78.477994,0,217
13.6302788,78.4779984,0,217
13.6302007,78.477993,0,217
13.6302377,78.4780018,0,217
13.6302172,78.4779841,0,217
13.6302097,78.4780028,0,217
13.6302718,78.4779952,0,217
13.6302228,78.4780086,0,217
13.6302573,78.4779995,0,217
13.6302381,78.4779957,0,217
13.6302745,78.4779634,0,217
13.6302254,78.4779879,0,217
13.6302255,78.477987,0,217
13.6302478,78.4779813,0,217
13.630221,78.4780026,0,217
13.6302703,78.4779813,0,217
13.6302691,78.4779665,0,217
13.6302854,78.4779871,0,217
13.6302385,78.4779831,0,217
13.630283,78.4779904,0,217
13.6302425,78.4779945,0,217
13.630283,78.4779827,0,217
13.6302771,78.4779855,0,217
13.6302165,78.4780059,0,217
13.6302954,78.4779737,0,217
13.6302875,78.4779816,0,217
13.6302786,78.4779767,0,217
13.6302965,78.4779758,0,217
13.6302011,78.4780081,0,217
13.6302992,78.4779818,0,217
13.6302441,78.4779869,0,217
13.6302591,78.4779936,0,217
13.6302087,78.4780121,0,217
13.6302408,78.4779827,0,217
13.6302769,78.477973,0,217
13.6301918,78.478015,0,217
13.6302563,78.4779924,0,217
13.6302789,78.4779865,0,217
13.630264,78.4779812,0,217
13.6302639,78.4779742,0,217
13.6302688,78.477975,0,217
13.6302757,78.4779754,0,217
13.6302859,78.4779741,0,217
13.630256,78.4779781,0,217
13.6302551,78.4779832,0,217
13.6302481,78.4779953,0,217
13.6302723,78.4779832,0,217
13.6302594,78.4779812,0,217
13.6302789,78.4779865,0,217
13.6303163,78.4779879,0,217
13.6302615,78.4779813,0,217
13.6302187,78.4779836,0,217
13.6302624,78.4779857,0,217
13.6302999,78.477998,0,217
13.6302943,78.4779761,0,217
13.6302602,78.4779857,0,217
13.6302657,78.4779815,0,217
13.6302744,78.4779764,0,217
13.6302109,78.4780022,0,217
13.6302502,78.4779709,0,217
13.6302276,78.4779872,0,217
13.6302109,78.4780022,0,217
13.6302461,78.4779774,0,217
13.6302114,78.4780106,0,217
13.630257,78.4779758,0,217
13.6302114,78.478003,0,217
13.6302696,78.4779707,0,217
13.6302424,78.4779739,0,217
13.6302616,78.4779841,0,217
13.6302114,78.478003,0,217
13.630244,78.4779696,0,217
13.6302202,78.4779794,0,217
13.6302114,78.478003,0,217
13.6302493,78.4779987,0,217
13.6302365,78.4779786,0,217
13.6302114,78.478003,0,217
13.6302579,78.4779804,0,217
13.6302114,78.478003,0,217
13.6302184,78.4780088,0,217
13.6302534,78.4779791,0,217
13.6302114,78.478003,0,217
13.6302474,78.4779781,0,217
13.6302403,78.4780175,0,217
13.6302114,78.478003,0,217
13.63025,78.4779829,0,217
13.6302508,78.4779801,0,217
13.6302114,78.478003,0,217
13.6302333,78.4779866,0,217
13.6302114,78.478003,0,217
13.6302401,78.4779827,0,217
13.6302602,78.4780009,0,217
13.630234,78.4779844,0,217
13.6302243,78.4779864,0,217
13.6302536,78.4779962,0,217
13.6302655,78.4779944,0,217
